Component Name,Location,Type,States,Notes
"Header","src/app/shared/components/header/","Shared","Default, Authenticated, Dark Mode",""
"Footer","src/app/shared/components/footer/","Shared","Default",""
"Modal","src/app/shared/components/modal/","Shared","Closed, Open, Loading",""
"Asset Card","src/app/shared/components/asset-card/","Shared","Default, Hover, Selected, Downloaded",""
"Pagination","src/app/shared/components/pagination/","Shared","Default, Disabled, Active",""
"Search Bar","src/app/shared/components/search-bar/","Shared","Empty, Focused, With Results",""
"Login","src/app/features/auth/login/","Feature","Default, Loading, Error, Success",""
"Register","src/app/features/auth/register/","Feature","Default, Validation, Loading, Error",""
"Asset List","src/app/features/marketplace/asset-list/","Feature","Empty, Populated, Loading, Search Results",""
"Asset Detail","src/app/features/marketplace/asset-detail/","Feature","Default, Downloaded, Share Open, Similar Assets",""
"Collections","src/app/features/collections/collections/","Feature","Grid View, Search Results, Empty",""
"Collection Detail","src/app/features/collections/collection-detail/","Feature","Items Grid, Loading, Empty",""
"Print Home","src/app/features/print/print-home/","Feature","Default, Hero Slider, Product Grid",""
"Print Configurator","src/app/features/print/print-configurator/","Feature","Product Selection, Size/Color/Quantity, Pricing, Checkout",""
"Pricing","src/app/features/subscription/pricing/","Feature","Default, Tier Comparison, CTA States",""
"Canvas Editor","src/app/features/editor/canvas-editor/","Feature","Tools Visible, Template Selection, Design View",""
"Course List","src/app/features/academy/course-list/","Feature","Grid View, Filter States, Loading",""
"Course Player","src/app/features/academy/course-player/","Feature","Video Playing, Progress Bar, Navigation",""
